Date,Low,Open,Volume,High,Close,Adjusted Close
2021-01-04,102.13999938964844,107.66000366210938,8041500,107.75,103.0999984741211,102.2560806274414
2021-01-05,102.8000030517578,102.91999816894533,5721900,104.26000213623048,103.44000244140624,102.59329986572266
2021-01-06,102.91000366210938,102.98999786376952,5017200,105.20999908447266,104.19000244140624,103.337158203125
2021-01-07,102.9499969482422,104.48999786376952,5057000,104.63999938964844,103.3499984741211,102.50403594970705
2021-01-08,103.41999816894533,103.86000061035156,5869700,105.76000213623048,105.66999816894533,104.80504608154295
2021-01-11,104.2699966430664,105.0999984741211,4257400,105.63999938964844,104.5999984741211,103.7437973022461
2021-01-12,102.30999755859376,104.01000213623048,4332600,104.31999969482422,102.81999969482422,101.9783706665039
2021-01-13,101.48999786376952,102.31999969482422,4804500,103.37999725341795,102.88999938964844,102.04779815673828
2021-01-14,101.70999908447266,103.8000030517578,4528300,104.19000244140624,101.81999969482422,100.98655700683594
2021-01-15,101.20999908447266,101.37999725341795,5522900,102.69000244140624,102.33000183105467,101.49237823486328
2021-01-19,101.33999633789062,102.8000030517578,6519600,103.5999984741211,102.54000091552734,101.70066833496094
2021-01-20,102.1999969482422,102.41000366210938,5844300,105.8499984741211,105.45999908447266,104.59675598144533
2021-01-21,104.4499969482422,105.45999908447266,5731500,105.48999786376952,104.58000183105467,103.72396850585938
2021-01-22,103.05999755859376,104.16000366210938,5231600,104.47000122070312,103.91000366210938,103.05945587158205
2021-01-25,102.16999816894533,103.75,5009000,103.9499969482422,103.4499969482422,102.60321044921876
2021-01-26,103.23999786376952,103.4000015258789,7195300,105.20999908447266,104.69000244140624,103.83306884765624
2021-01-27,96.7300033569336,101.4800033569336,18139500,101.77999877929688,97.87000274658205,97.0688934326172
2021-01-28,98.0999984741211,98.94000244140624,8868200,100.52999877929688,98.1500015258789,97.34659576416016
2021-01-29,95.91999816894533,97.38999938964844,8203000,97.79000091552734,96.80999755859376,96.01756286621094
2021-02-01,96.91999816894533,96.98999786376952,7206300,99.62000274658205,98.58000183105467,97.77307891845705
2021-02-02,98.77999877929688,99.0500030517578,6917700,102.4800033569336,101.6500015258789,100.81794738769533
2021-02-03,100.80999755859376,101.25,3934800,102.6500015258789,101.0199966430664,100.19309997558594
2021-02-04,101.11000061035156,101.36000061035156,6926800,104.23999786376952,103.63999938964844,102.79166412353516
2021-02-05,104.77999877929688,105.08999633789062,8072100,107.54000091552734,106.4800033569336,105.6084213256836
2021-02-08,105.33999633789062,106.41999816894533,4836600,106.52999877929688,106.26000213623048,105.39022064208984
2021-02-09,105.22000122070312,106.0,4095200,106.83000183105467,106.22000122070312,105.3505401611328
2021-02-10,104.93000030517578,106.77999877929688,4293200,106.9000015258789,105.87000274658205,105.00340270996094
2021-02-11,105.02999877929688,106.12000274658205,2976000,106.2300033569336,105.86000061035156,104.99348449707033
2021-02-12,104.72000122070312,105.73999786376952,3169800,105.94000244140624,105.3000030517578,104.43807220458984
2021-02-16,104.6999969482422,104.87999725341795,4928100,106.58999633789062,106.1500015258789,105.28111267089844
2021-02-17,104.1500015258789,105.11000061035156,5733800,105.45999908447266,104.44000244140624,104.02610778808594
2021-02-18,103.41000366210938,103.77999877929688,4098700,105.33999633789062,104.97000122070312,104.55400848388672
2021-02-19,103.22000122070312,104.75,4128900,105.27999877929688,103.37000274658205,102.9603500366211
2021-02-22,101.75,102.98999786376952,5211800,102.98999786376952,101.80999755859376,101.40652465820312
2021-02-23,99.93000030517578,103.33999633789062,8740300,103.33999633789062,101.37000274658205,100.96827697753906
2021-02-24,100.5999984741211,101.16000366210938,7542700,104.51000213623048,104.37999725341795,103.96633911132812
2021-02-25,103.11000061035156,104.0,7534000,105.7699966430664,103.47000122070312,103.05995178222656
2021-02-26,103.68000030517578,104.1500015258789,15122900,109.4800033569336,108.02999877929688,107.60187530517578
2021-03-01,106.54000091552734,108.5999984741211,7930300,110.47000122070312,106.87000274658205,106.44647979736328
2021-03-02,105.81999969482422,107.30999755859376,5016800,108.25,107.1999969482422,106.77516174316406
2021-03-03,106.12000274658205,106.94000244140624,5313400,107.95999908447266,106.22000122070312,105.7990493774414
2021-03-04,103.8499984741211,106.26000213623048,7211800,107.16999816894533,104.88999938964844,104.4743194580078
2021-03-05,102.75,106.05999755859376,5559900,106.05999755859376,105.1999969482422,104.78308868408205
2021-03-08,104.2300033569336,104.8000030517578,5119500,106.88999938964844,105.02999877929688,104.61376190185548
2021-03-09,105.83000183105467,106.27999877929688,5510900,107.97000122070312,106.5500030517578,106.12774658203124
2021-03-10,106.95999908447266,107.22000122070312,6077000,109.06999969482422,107.77999877929688,107.35286712646484
2021-03-11,107.26000213623048,108.41000366210938,4670700,108.56999969482422,107.31999969482422,106.89469146728516
2021-03-12,106.58000183105467,107.41999816894533,3356000,107.98999786376952,107.80999755859376,107.38274383544922
2021-03-15,107.05999755859376,107.88999938964844,7107300,108.9499969482422,108.9000015258789,108.46842956542967
2021-03-16,109.88999938964844,110.56999969482422,11376200,112.33999633789062,111.33999633789062,110.89875793457033
2021-03-17,108.93000030517578,111.30999755859376,10128400,111.45999908447266,110.45999908447266,110.02224731445312
2021-03-18,107.5,109.27999877929688,7813400,110.2699966430664,107.62000274658205,107.1935043334961
2021-03-19,105.83000183105467,108.3499984741211,21452000,108.8499984741211,106.33999633789062,105.91857147216795
2021-03-22,106.0,106.4000015258789,7605100,108.41999816894533,107.56999969482422,107.1436996459961
2021-03-23,105.66999816894533,107.73999786376952,5657800,107.9499969482422,106.25,105.82893371582033
2021-03-24,104.94000244140624,106.62999725341795,5731300,107.27999877929688,104.97000122070312,104.55400848388672
2021-03-25,104.05999755859376,105.01000213623048,8149000,107.6999969482422,107.3499984741211,106.92456817626952
2021-03-26,107.18000030517578,107.25,6167600,110.0,109.9000015258789,109.46446990966795
2021-03-29,106.58999633789062,109.01000213623048,5167100,110.25,109.12999725341795,108.69751739501952
2021-03-30,108.27999877929688,108.41999816894533,4552900,110.4499969482422,110.2699966430664,109.83300018310548
2021-03-31,109.19000244140624,110.33000183105467,6478400,111.62000274658205,109.2699966430664,108.8369598388672
2021-04-01,108.1999969482422,110.05999755859376,5793000,110.05999755859376,109.37999725341795,108.94652557373048
2021-04-05,109.87000274658205,109.91000366210938,6913100,111.3499984741211,111.0199966430664,110.58002471923828
2021-04-06,111.0999984741211,111.37999725341795,6745200,113.81999969482422,113.1500015258789,112.70159149169922
2021-04-07,112.6500015258789,112.91000366210938,5629600,113.76000213623048,113.19000244140624,112.7414321899414
2021-04-08,112.68000030517578,113.6500015258789,5011300,113.95999908447266,113.04000091552734,112.59202575683594
2021-04-09,111.97000122070312,112.91000366210938,4114300,113.2699966430664,113.18000030517578,112.7314682006836
